# FPR TPR
0.000000 0.052039
0.000000 0.052072
0.000000 0.052122
0.000000 0.052156
0.000000 0.052356
0.000000 0.052390
0.000000 0.052473
0.000000 0.052507
0.000000 0.052557
0.000000 0.052607
0.000000 0.053108
0.000000 0.053142
0.000000 0.053192
0.000000 0.053225
0.000000 0.053342
0.000000 0.053376
0.000000 0.053409
0.000000 0.053443
0.000000 0.053509
0.000000 0.053543
0.000000 0.053559
0.000000 0.053593
0.000000 0.053626
0.000000 0.053693
0.000000 0.053910
0.000000 0.053944
0.000000 0.054061
0.000000 0.054094
0.000000 0.054295
0.000000 0.054328
0.000000 0.054428
0.000000 0.054462
0.000000 0.054646
0.000000 0.054679
0.000000 0.054796
0.000000 0.054830
0.000000 0.054913
0.000000 0.054980
0.000000 0.055030
0.000000 0.055064
0.000000 0.055097
0.000000 0.055130
0.000000 0.055164
0.000000 0.055197
0.000000 0.055414
0.000000 0.055448
0.000000 0.055481
0.000000 0.055531
0.000000 0.055648
0.000000 0.055682
0.000000 0.055699
0.000000 0.055732
0.000000 0.055849
0.000000 0.055882
0.000000 0.056283
0.000000 0.056317
0.000000 0.056367
0.000000 0.056400
0.000000 0.056467
0.000000 0.056634
0.000000 0.056668
0.000000 0.056751
0.000000 0.056785
0.000000 0.056818
